tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
169814,AGRF,Ahma Group (Rovaniemi),101,RLABO,2017-04-11,2017-04-11,False
53341,AHHG,Umweltbehörde, Hygienisches Institut, Hamburg,101,RLABO,2006-10-23,2011-12-01,False
53342,AHZL,Arbeithygienisches Zentrum der Chemischen Industri,101,RLABO,2006-10-23,2011-12-01,False
135527,ALGL,ALS Scandinavia - Luleå,101,RLABO,2011-10-06,2016-04-08,False
156146,ALGT,ALS Scandinavia - Täby,101,RLABO,2016-03-31,2016-03-31,False
77754,ALLS,SYNLAB Analytics & Services Sweden AB, Linköping, Sweden,101,RLABO,2006-10-23,2018-04-23,False
53343,ALNG,Dr. Schumacher GmbH,101,RLABO,2006-10-23,2006-10-23,False
249184,ALSC,ALS Environmental Coventry,101,RLABO,2021-08-25,2021-08-25,False
53344,ALUK,Fisheries Research Services, Aberdeen,101,RLABO,2006-10-23,2011-12-01,False
136391,AMAP,AMAP Secretariat,101,RLABO,2012-11-21,2012-11-21,False
169813,AMHF,Alands Landskapregering (Mariehamn),101,RLABO,2017-04-10,2017-04-10,False
53345,ANBF,ANSAB, Bordeaux,101,RLABO,2006-10-23,2011-12-01,False
53346,ANCH,Vrije Universiteit Brussel,101,RLABO,2006-10-23,2006-10-23,False
130347,APEM,APEM Ltd, Manchester Laboratory,101,RLABO,2007-08-29,2007-08-29,False
53347,APNN,Akvaplan-NIVA A/S, Polar Environmental Center, Tromsø,101,RLABO,2006-10-23,2011-12-01,False
148415,AQEG,AquaEcology, Oldenburg,101,RLABO,2015-03-17,2015-03-17,False
194869,AQFG,Aquafact Environmental Survey Specialists, Galway,101,RLABO,2017-10-19,2017-10-19,False
197494,AQSS,Aqua Service Schwerin Consulting and Operating Management Company,101,RLABO,2018-09-17,2018-09-17,False
53348,ASLR,Latvian Institute of Aquatic Ecology,101,RLABO,2006-10-23,2015-01-23,False
53349,ASUK,Aquatic Systems Group, Belfast,101,RLABO,2006-10-23,2011-12-01,False
53402,AWIG,Alfred-Wegener Institut,101,RLABO,2006-10-23,2006-10-23,False
53500,AWUK,Environment Agency, Peterborough,101,RLABO,2006-10-23,2011-12-01,False
130338,AZUK,AstraZeneca, Brixham Laboratory,101,RLABO,2007-08-29,2007-08-29,False
53403,BAHG,Biologische Anstalt Helgoland,101,RLABO,2006-10-23,2006-10-23,False
230816,BASG,Biologische Arbeiten Steuwer,101,RLABO,2021-01-06,2021-01-06,False
77992,BEUK,Biological Effects Laboratory, Waterloo,101,RLABO,2006-10-23,2006-10-23,False
53534,BFAG,Institut für Seefischerei der VTIG Hamburg,101,RLABO,2006-10-23,2010-07-29,False
53404,BFCG,Bundesforschungsanstalt für Fischerei, Cuxhaven,101,RLABO,2006-10-23,2011-12-01,False
