tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
135342,ACD,Acidification,201,METPT,2011-06-06,2011-06-06,False
195114,ACD-HCL,Acidification with HCL,201,METPT,2017-12-06,2017-12-06,False
135343,ACD-PUR,Acidification and purging with air/nitrogen,201,METPT,2011-06-06,2011-06-06,False
135344,ACD-SUL,Acidification with sulphurous acid,201,METPT,2011-06-06,2011-06-06,False
137430,AGR0.5-1%,Agarose concentration 0.5-1%,201,METPT,2013-05-03,2013-05-03,False
137431,AGR1.1-1.5%,Agarose concentration 1.1-1.5%,201,METPT,2013-05-03,2013-05-03,False
137432,AGR1.6-2%,Agarose concentration 1.6-2%,201,METPT,2013-05-03,2013-05-03,False
233888,ALA-CB,Acid labilisation - citrate buffer,201,METPT,2021-05-17,2021-05-17,False
131379,ASH,Ashing the sample,201,METPT,2008-08-25,2008-08-25,False
131650,CGT,preconcentration in gold trap,201,METPT,2009-02-11,2009-02-11,False
78043,CP,Centrifuged/precipitated,201,METPT,2006-10-23,2006-10-23,False
129745,D,Drying,201,METPT,2007-03-28,2007-03-28,False
53544,DAIR,Drying - by air,201,METPT,2006-10-23,2006-10-23,False
53545,DCHEM,Drying - chemically (with Na2SO4),201,METPT,2006-10-23,2006-10-23,False
129949,DEPUR,Depurated,201,METPT,2007-05-29,2007-05-29,False
53208,DFRZ,Drying - freeze dried,201,METPT,2006-10-23,2006-10-23,False
135045,DIA,Dialysis,201,METPT,2010-12-08,2010-12-08,False
53546,DNO,Drying - none (fresh material),201,METPT,2006-10-23,2006-10-23,False
53918,DOVN,Drying by oven - temperature unknown,201,METPT,2006-10-23,2006-10-23,False
53206,DRY100,Drying >100 degrees Celsius,201,METPT,2006-10-23,2006-10-23,False
53207,DRY99,Drying <100 degrees Celsius,201,METPT,2006-10-23,2006-10-23,False
195022,DS-NA,Density separation - NaCl2,201,METPT,2017-11-22,2017-11-22,False
195023,DS-WO,Density separation - Na2WO4 Sodium tungstate,201,METPT,2017-11-22,2017-11-22,False
195021,DS-ZN,Density separation - ZnCl2,201,METPT,2017-11-22,2017-11-22,False
233885,ED,Enzymatic deconjugation,201,METPT,2021-05-17,2021-05-17,False
129746,F,Filtration/fractioning - deprecated code,201,METPT,2007-03-28,2021-01-26,True
132223,FF-GF-0.7,Filtered with fiber filter - glass fiber with particle retention diameter 0.7 µm,201,METPT,2010-03-05,2010-03-05,False
