tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
196870,ACD,Acid treatment,198,METPS,2018-08-02,2018-08-02,False
196867,CC,Column Chromatography including SPE,198,METPS,2018-08-02,2018-08-02,False
196868,CU,Cu Treatment,198,METPS,2018-08-02,2018-08-02,False
195029,DS-NACL,Density separation - NaCl2,198,METPS,2017-11-22,2018-04-26,False
196124,DS-NAI,Density separation - NaI,198,METPS,2018-04-26,2018-04-26,False
195030,DS-WO,Density separation - Na2WO4 - sodium tungstate,198,METPS,2017-11-22,2017-11-22,False
195031,DS-ZNCL,Density separation - ZnCl2,198,METPS,2017-11-22,2018-04-26,False
53042,GC,Gas chromatography,198,METPS,2006-10-23,2021-01-12,True
131419,GC-KAT,Gas chromatography - katharometer,198,METPS,2008-09-04,2018-08-02,False
250005,GLS,Gas-liquid separation,198,METPS,2021-11-16,2021-11-17,False
79352,GPC,Gel permeation chromatography,198,METPS,2006-10-23,2006-10-23,False
235399,GPC-CC-ACD,Gel permeation chromatography followed by column chromatography and acid treatment,198,METPS,2021-06-28,2021-06-28,False
235398,GPC-CC-HPLC,Gel permeation chromatography followed by column chromatography and high performace lliquid chromatography,198,METPS,2021-06-28,2021-06-28,False
137656,GPC-S-SG,Gel Permeation Chromatography and Sulphuric Acid followed by Silica Gel Fractionation,198,METPS,2013-07-12,2013-07-12,False
53040,HPLC,High performance liquid chromatography,198,METPS,2006-10-23,2018-08-01,True
53043,IAFC,Ion affinity chromatography,198,METPS,2006-10-23,2006-10-23,False
53044,IEXC,Ion exchange chromatography,198,METPS,2006-10-23,2006-10-23,False
53045,IMA,Immunoaffinity,198,METPS,2006-10-23,2006-10-23,False
196857,OC-ASF,Open chromatography with acidic silica florisil,198,METPS,2018-07-30,2018-07-30,False
196858,OC-ASFC,Open chromatography with acidic silica florisil and carbon,198,METPS,2018-07-30,2018-07-30,False
196866,PRPLC,Preparative Liquid Chromatography,198,METPS,2018-08-02,2018-08-02,False
196865,SLAC,Silica column,198,METPS,2018-08-01,2018-08-02,False
196869,TBA,TBA Treatment,198,METPS,2018-08-02,2018-08-02,False
