tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
78146,AEPAM11,CEFAS Science Series Aquatic Environment Protection: Analytical Methods Number 11. Methods for analysis for trace metals in marine and other samples.  MAFF 1994,171,REFSK,2006-10-23,2006-10-23,False
137516,AEPAM12,CEFAS Science Series Aquatic Environment Protection: Analytical Methods 12. Methods for analysis for hydrocarbons and PAH in marine samples,171,REFSK,2013-06-05,2013-06-05,False
198292,AOAC200701,AOAC 2007.01 QuEChERS Method,171,REFSK,2019-01-22,2019-01-22,False
137354,ASTM_E1563-98(2012),American Society for Testing and Materials. ASTM E1563 - 98(2012) Standard Guide for Conducting Static Acute Toxicity Tests with Echinoid Embryos,171,REFSK,2013-05-02,2019-01-22,False
137353,ASTM_E724-98(2012),American Society for Testing and Materials. ASTM E724 - 98(2012) Standard Guide for Conducting Static Acute Toxicity Tests Starting with Embryos of Four Species of Saltwater Bivalve Molluscs,171,REFSK,2013-05-02,2019-01-22,False
130373,BQFDV2,BEQUALM Fish Disease Measurements version 2, 2006,171,REFSK,2007-09-05,2007-09-05,False
198293,CSN EN 15662,European standard CSN EN 15662. QuEChERS method,171,REFSK,2019-01-22,2019-01-22,False
198294,DIN 38407-35,German standard DIN 38407-35,171,REFSK,2019-01-22,2019-01-22,False
229157,DIN EN ISO 10301:1997,German Standard - Water quality - Determination of highly volatile halogenated hydrocarbons - Gas-chromatographic methods (adopted version of ISO 10301:1997),171,REFSK,2020-08-31,2020-08-31,False
229360,DIN EN ISO 10695:2000,German Standard - Water quality - Determination of selected organic nitrogen and phosphorus compounds - Gas chromatographic methods (adopted version of ISO 10695:2000),171,REFSK,2020-09-15,2020-09-15,False
229159,DIN EN ISO 11369:1997,German Standard - Water quality - Determination of selected plant treatment agents - Method using high performance liquid chromatography with UV detection after solid-liquid extraction (adopted version of ISO 11369:1997),171,REFSK,2020-08-31,2020-08-31,False
229158,DIN EN ISO 15913:2003,German Standard - Water quality - Determination of selected phenoxyalkanoic herbicides, including bentazones and hydroxybenzonitriles by gas chromatography and mass spectrometry after solid phase extraction and derivatization (adopted version of ISO 15913:2000),171,REFSK,2020-08-31,2020-08-31,False
229154,DIN EN ISO 17353:2005,German Standard - Water quality - Determination of selected organotin compounds - Gas chromatographic method (adopted version of ISO 17353:2004),171,REFSK,2020-08-31,2020-08-31,False
