tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
202092,0600,SANTA GIULIETTA,315,SHIPC,2020-02-06,2020-02-06,False
198140,0602,HANJIN OTTAWA,315,SHIPC,2019-01-02,2019-01-02,False
199896,0608,MSC BENEDETTA,315,SHIPC,2019-06-21,2019-06-21,False
155198,060Q,CHICAGO EXPRESS,315,SHIPC,2015-11-09,2019-08-21,False
198162,060V,BUXCONTACT,315,SHIPC,2019-01-05,2019-01-05,False
121000,0611,BERLIN,315,SHIPC,2006-12-21,2016-01-29,False
121001,0612,NATIONAL,315,SHIPC,2006-12-21,2009-11-23,False
121002,0613,SCHWABENLAND,315,SHIPC,2006-12-21,2009-12-08,False
131640,0614,ANNE MARIE,315,SHIPC,2009-02-04,2013-08-15,False
121003,061A,SEAPAC BUNKER HILL,315,SHIPC,2006-12-21,2018-06-11,False
121004,061B,SEAPAC LEXINGTON,315,SHIPC,2006-12-21,2006-12-21,False
121005,061C,SEAPAC PRINCETON,315,SHIPC,2006-12-21,2006-12-21,False
121006,061D,SEAPAC CONCORD,315,SHIPC,2006-12-21,2006-12-21,False
121007,061E,SEAPAC VALLEY FORGE,315,SHIPC,2006-12-21,2006-12-21,False
121008,061F,CAP SAN MARCO,315,SHIPC,2006-12-21,2006-12-21,False
121009,061G,ANNIEMARIE,315,SHIPC,2006-12-21,2012-02-28,False
121010,061H,CAP SAN AUGUSTIN,315,SHIPC,2006-12-21,2006-12-21,False
121011,061I,SUNNA HAV,315,SHIPC,2006-12-21,2006-12-21,False
121012,061J,SCHLESWIG HOLSTEIN,315,SHIPC,2006-12-21,2006-12-21,False
121013,061K,BAYERN,315,SHIPC,2006-12-21,2006-12-21,False
121014,061L,HESSEN,315,SHIPC,2006-12-21,2006-12-21,False
121015,061M,LUETJENS,315,SHIPC,2006-12-21,2006-12-21,False
121016,061N,MOELDERS,315,SHIPC,2006-12-21,2006-12-21,False
198118,061O,HANJIN COPENHAGEN,315,SHIPC,2018-12-30,2018-12-30,False
121017,061P,ROMMEL,315,SHIPC,2006-12-21,2006-12-21,False
121018,061Q,KOELN,315,SHIPC,2006-12-21,2006-12-21,False
121019,061R,EMDEN,315,SHIPC,2006-12-21,2006-12-21,False
121020,061S,AUGSBURG,315,SHIPC,2006-12-21,2006-12-21,False
121021,061T,KARLSRUHE,315,SHIPC,2006-12-21,2006-12-21,False
121022,061U,LUEBECK,315,SHIPC,2006-12-21,2006-12-21,False
121023,061V,BRAUNSCHWEIG,315,SHIPC,2006-12-21,2006-12-21,False
